symbol,rank,sector
ICICIBANK,1.0,Financials
HDFCBANK,0.9782608695652174,Financials
TCS,0.9565217391304348,IT
KOTAKBANK,0.9347826086956522,Financials
HDFCLIFE,0.9130434782608695,Financials
INFY,0.8913043478260869,IT
WIPRO,0.8695652173913043,IT
BPCL,0.8478260869565217,Energy
BHARTIARTL,0.8260869565217391,Telecom
HCLTECH,0.8043478260869565,IT
M&M,0.782608695652174,Auto
MARUTI,0.7608695652173914,Auto
SBIN,0.7391304347826086,Financials
EICHERMOT,0.717391304347826,Auto
BAJAJFINSV,0.6956521739130435,Financials
SBILIFE,0.6739130434782609,Financials
TITAN,0.6521739130434783,Consumer
HINDUNILVR,0.6304347826086957,Consumer
TECHM,0.6086956521739131,IT
AXISBANK,0.5869565217391305,Financials
