Date,equity
2019-01-01,1000000.0
2019-01-02,999400.0
2019-01-03,989932.4020444042
2019-01-04,989976.156756203
2019-01-07,996103.8702644529
2019-01-08,1003614.2507003739
2019-01-09,1012582.5258198096
2019-01-10,1011181.5478168302
2019-01-11,1009407.2663374074
2019-01-14,1000081.5236046343
2019-01-15,1015281.3527799784
2019-01-16,1015591.2255090724
2019-01-17,1014853.2940629876
2019-01-18,1012143.9993351907
2019-01-21,1014810.0355667069
2019-01-22,1013996.714863275
2019-01-23,1009642.9581371531
2019-01-24,1010343.9590089055
2019-01-25,1001153.355950427
2019-01-28,985348.276745563
2019-01-29,994085.4284217848
2019-01-30,996292.5462689843
2019-01-31,1008734.7550222038
2019-02-01,1016321.8361663633
2019-02-04,1012990.4642054188
2019-02-05,1014300.9092396654
2019-02-06,1027734.3715522214
2019-02-07,1031444.4816903695
2019-02-08,1017030.1822833153
2019-02-11,1006497.5038699716
2019-02-12,1006618.3064534488
2019-02-14,1000283.8174506236
2019-02-15,998576.3145934201
2019-02-18,990058.2022861878
2019-02-19,983971.5959703934
2019-02-20,997457.9034257202
2019-02-21,1001975.5462432198
2019-02-22,1006513.9325290865
2019-02-25,1010594.0358416996
2019-02-26,1010531.071780551
2019-02-27,1010183.5721516019
2019-02-28,1009489.7302518018
2019-03-01,1017133.9999286343
2019-03-05,1025333.0924462576
2019-03-06,1030303.1865199947
2019-03-07,1027722.8488708626
2019-03-08,1025654.417910196
2019-03-11,1039589.3854766039
2019-03-12,1051248.2205863635
2019-03-13,1048345.2061208622
2019-03-14,1050954.2800304461
2019-03-15,1054847.5749302492
2019-03-18,1053768.624165499
2019-03-19,1060704.2762759207
2019-03-20,1055550.7909027566
2019-03-22,1057292.01002858
2019-03-25,1047024.2883570839
2019-03-26,1056585.9438600566
2019-03-27,1051880.393439292
2019-03-28,1064592.7525002095
2019-04-01,1071618.0410834611
2019-04-02,1074760.1851225146
2019-04-03,1071171.253323305
2019-04-04,1065322.1990526419
2019-04-05,1071978.1539498786
2019-04-08,1070820.2971344676
2019-04-09,1076506.811238059
2019-04-10,1074224.395385796
2019-04-11,1073346.8685972304
2019-04-12,1081347.5540840647
2019-04-15,1083304.657794846
2019-04-16,1092076.6434028158
2019-04-18,1089961.3451391414
2019-04-22,1081817.846953627
