Date,AXISBANK,ITC,NTPC,RELIANCE,SBILIFE,TCS
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,0.0,0.0,1.0006003602161297,0.0,0.0,0.0
2019-01-03,0.0,0.0,1.0006154412697776,0.0,0.0,0.0
2019-01-04,0.0,0.0,1.000605512127929,0.0,0.0,0.0
2019-01-07,0.0,0.0,1.000593892202639,0.0,0.0,0.0
2019-01-08,0.0,0.0,1.000600564445715,0.0,0.0,0.0
2019-01-09,0.0,0.0,1.000602204715222,0.0,0.0,0.0
2019-01-10,0.0,0.0,1.00059589837947,0.0,0.0,0.0
2019-01-11,0.0,0.0,1.000596301272163,0.0,0.0,0.0
2019-01-14,0.0,0.0,1.0006063447039162,0.0,0.0,0.0
2019-01-15,0.0,0.0,1.0006053043666294,0.0,0.0,0.0
2019-01-16,0.0,0.0,1.0006030281637683,0.0,0.0,0.0
2019-01-17,0.0,0.0,1.000609066329813,0.0,0.0,0.0
2019-01-18,0.0,0.0,1.000611600496174,0.0,0.0,0.0
2019-01-21,0.0,0.0,1.0006154412697776,0.0,0.0,0.0
2019-01-22,0.0,0.0,1.000618028768777,0.0,0.0,0.0
2019-01-23,0.0,0.0,1.0006270358527893,0.0,0.0,0.0
2019-01-24,0.0,0.0,1.000630171811182,0.0,0.0,0.0
2019-01-25,0.0,0.0,1.0006381508758968,0.0,0.0,0.0
2019-01-28,0.0,0.0,1.0006367688238063,0.0,0.0,0.0
2019-01-29,0.0,0.0,1.000637228842216,0.0,0.0,0.0
2019-01-30,0.0,0.0,1.0006363093560917,0.0,0.0,0.0
2019-01-31,0.0,0.0,1.000631751666176,0.0,0.0,0.0
2019-02-01,0.0,0.0,1.0006297219771,0.0,0.0,0.0
2019-02-04,0.0,0.5006009142398059,0.0,0.5006009142398059,0.0,0.0
2019-02-05,0.0,0.497799008789156,0.0,0.5034089528735833,0.0,0.0
2019-02-06,0.0,0.49741317755842623,0.0,0.5037784178228873,0.0,0.0
2019-02-07,0.0,0.5035683936946054,0.0,0.49762675719183513,0.0,0.0
2019-02-08,0.0,0.5017288493481392,0.0,0.4994826827834236,0.0,0.0
2019-02-11,0.0,0.5080181536647259,0.0,0.49320148191297014,0.0,0.0
2019-02-12,0.0,0.5057602464207847,0.0,0.49546190723940065,0.0,0.0
2019-02-14,0.0,0.5146132755383697,0.0,0.48661863680662076,0.0,0.0
2019-02-15,0.0,0.5124743266953056,0.0,0.4887428297749384,0.0,0.0
2019-02-18,0.0,0.512560125269637,0.0,0.4886811657135668,0.0,0.0
2019-02-19,0.0,0.5144715355223132,0.0,0.48676896536218833,0.0,0.0
2019-02-20,0.0,0.5106953326396055,0.0,0.49053628614275047,0.0,0.0
2019-02-21,0.0,0.5074349704817008,0.0,0.49379234494021906,0.0,0.0
2019-02-22,0.0,0.5096933590266534,0.0,0.4915427892899489,0.0,0.0
2019-02-25,0.0,0.5118804524660185,0.0,0.48935023223903173,0.0,0.0
2019-02-26,0.0,0.5132558691473242,0.0,0.48798349745077574,0.0,0.0
2019-02-27,0.0,0.5122266395276827,0.0,0.4890120400428431,0.0,0.0
2019-02-28,0.0,0.5115470318618008,0.0,0.4896857471105117,0.0,0.0
2019-03-01,0.0,0.5145045837307815,0.0,0.48672574057579676,0.0,0.0
2019-03-05,0.22081696457547736,0.3126563453899673,0.0,0.21900603166819943,0.0,0.24808406899031607
2019-03-06,0.2159966399319265,0.3142095356225911,0.0,0.22240325184746443,0.0,0.24795044120225873
2019-03-07,0.21746315792869184,0.3154027601037327,0.0,0.2208478953019906,0.0,0.2468397545704538
2019-03-08,0.2168029367198046,0.3166557020147258,0.0,0.21973622472345736,0.0,0.24735728716186733
2019-03-11,0.21566038326716178,0.3155384793284351,0.0,0.22462393325199037,0.0,0.24472562243597518
2019-03-12,0.21619897575689817,0.31455274808594735,0.0,0.22739799554238882,0.0,0.24239410821108706
2019-03-13,0.21479099890539274,0.3148579650299509,0.0,0.23003319962001942,0.0,0.24086145348113272
2019-03-14,0.21579838871165385,0.31586550281001646,0.0,0.22931787804154158,0.0,0.23956247966308347
2019-03-15,0.21498990716190752,0.31199403910954104,0.0,0.2267538374304144,0.0,0.2468084833158071
2019-03-18,0.21647250622444214,0.31206459630361716,0.0,0.22950839945315585,0.0,0.2424957699128729
2019-03-19,0.21728367067772128,0.3136924032656357,0.0,0.23059933875445746,0.0,0.23895796249885662
2019-03-20,0.21649428037759433,0.31410463672677386,0.0,0.23114236183583275,0.0,0.23879377992366235
2019-03-22,0.21842629276098688,0.3156227041818947,0.0,0.22710072353165695,0.0,0.23938918635771883
2019-03-25,0.21778483438710675,0.3161108740393728,0.0,0.22691624456037354,0.0,0.2397335495974995
2019-03-26,0.21920690567888562,0.31163144979855245,0.0,0.23222848652511138,0.0,0.23747395509437078
2019-03-27,0.22083891403361394,0.31272184949540494,0.0,0.2302083810014501,0.0,0.23677410018826991
2019-03-28,0.22275964026992248,0.3140174251472328,0.0,0.22764478924984885,0.0,0.23611109430238106
2019-04-01,0.21804884094675522,0.3105660544739314,0.0,0.23254706394300492,0.0,0.2393700082409783
2019-04-02,0.0,1.0008299035219403,0.0,0.0,0.0,0.0
2019-04-03,0.0,1.000834811680061,0.0,0.0,0.0,0.0
2019-04-04,0.0,1.0008386376362173,0.0,0.0,0.0,0.0
2019-04-05,0.0,1.0008393501111832,0.0,0.0,0.0,0.0
2019-04-08,0.0,1.0008445153937167,0.0,0.0,0.0,0.0
2019-04-09,0.0,1.0008343885402193,0.0,0.0,0.0,0.0
2019-04-10,0.0,1.0008389225418926,0.0,0.0,0.0,0.0
2019-04-11,0.0,1.0008341069460325,0.0,0.0,0.0,0.0
2019-04-12,0.0,1.0008085788629195,0.0,0.0,0.0,0.0
2019-04-15,0.0,1.000809241046108,0.0,0.0,0.0,0.0
2019-04-16,0.0,1.0008047592683138,0.0,0.0,0.0,0.0
2019-04-18,0.0,1.0008121678004542,0.0,0.0,0.0,0.0
2019-04-22,0.0,1.0008191702802085,0.0,0.0,0.0,0.0
2019-04-23,0.0,1.0008148468915354,0.0,0.0,0.0,0.0
2019-04-24,0.0,1.0008067304120047,0.0,0.0,0.0,0.0
2019-04-25,0.0,1.0008128360488875,0.0,0.0,0.0,0.0
2019-04-26,0.0,1.0008117674697505,0.0,0.0,0.0,0.0
2019-04-30,0.0,1.0008203944425513,0.0,0.0,0.0,0.0
2019-05-02,0.0,1.0008105688420972,0.0,0.0,0.0,0.0
2019-05-03,0.0,0.4225442891390194,0.2673519343234799,0.3107980443915586,0.0,0.0
2019-05-06,0.0,0.42736888227904685,0.2670920355899184,0.3062349870478995,0.0,0.0
2019-05-07,0.0,0.42798789973504026,0.27018415758831205,0.3025366285975372,0.0,0.0
2019-05-08,0.0,0.4341788434059519,0.26845891947321476,0.2980841633771456,0.0,0.0
2019-05-09,0.0,0.44068337088658827,0.2667326490275404,0.2933186766470053,0.0,0.0
2019-05-10,0.0,0.44014356403884436,0.2668142880651529,0.2937811199117636,0.0,0.0
2019-05-13,0.0,0.4382691223077495,0.2660099963105161,0.2964781987659392,0.0,0.0
2019-05-14,0.0,0.4376487723462192,0.2654079642012729,0.29768653423076685,0.0,0.0
2019-05-15,0.0,0.44180047718665116,0.26200269193844283,0.29694033261973674,0.0,0.0
2019-05-16,0.0,0.43733870981317224,0.26517628190179154,0.29822674444880487,0.0,0.0
2019-05-17,0.0,0.442855499656275,0.2620748026561799,0.29580421862774015,0.0,0.0
2019-05-20,0.0,0.4380675848483433,0.26211745540948234,0.3005282858612623,0.0,0.0
2019-05-21,0.0,0.4363833016425649,0.2607307592955942,0.30359907779915357,0.0,0.0
2019-05-22,0.0,0.4352948844759627,0.2622589819641216,0.3031579173076657,0.0,0.0
2019-05-23,0.0,0.426079424890113,0.26750971584682043,0.3071354958594749,0.0,0.0
2019-05-24,0.0,0.42830788057252933,0.26538722409676274,0.3070276790575118,0.0,0.0
2019-05-27,0.0,0.4276597562415687,0.2729194016724379,0.30014153942715,0.0,0.0
2019-05-28,0.0,0.42525878644451204,0.2719883403494884,0.3034743618085199,0.0,0.0
2019-05-29,0.0,0.4271213456617033,0.27042612128572796,0.3031791938090296,0.0,0.0
2019-05-30,0.0,0.42229977558714255,0.27542642262695655,0.3029908907247545,0.0,0.0
2019-05-31,0.0,0.41518634216825906,0.2767630955630914,0.30878113532104157,0.0,0.0
2019-06-03,0.0,0.4124377711572216,0.2746214014612357,0.3136665639744724,0.0,0.0
