Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-01-18,0.031659973197245055,0.03297740366960552,0.0,0.03311581730331039,0.0,0.0,0.0
2023-01-19,0.03177181082623972,0.032863538685381714,0.0,0.032317821537240436,0.0,0.0,0.0
2023-01-20,0.031919943546390384,0.03252305753803734,0.0,0.03226840151012196,0.0,0.0,0.0
2023-01-23,0.031919188361355495,0.03336856448142159,0.0,0.0330228925893626,0.0,0.0,0.0
2023-01-24,0.03248027886075749,0.0336345865488424,0.0,0.033642752588082823,0.0,0.0,0.0
2023-01-25,0.03245111155173714,0.034189173976340234,0.0,0.033540172220303,0.0,0.0,0.0
2023-01-26,0.03208445281622148,0.0336890610168872,0.0,0.03298477076561131,0.0,0.0,0.0
2023-01-27,0.03238813877353015,0.03391147519190026,0.0,0.03292429171067793,0.0,0.0,0.0
2023-01-30,0.032288247456799195,0.03425956398488593,0.0,0.03313193035416606,0.0,0.0,0.0
2023-01-31,0.03226265277445441,0.03386310366261048,0.0,0.032713827541292775,0.0,0.0,0.0
2023-02-01,0.03193829179018204,0.03401542420604102,0.0,0.033390388212879395,0.0,0.0,0.0
2023-02-02,0.059523267376554445,0.05952326737655445,0.0,0.0,0.0,0.0,0.059523267376554445
2023-02-03,0.06292578439965599,0.05986844305362656,0.0,0.0,0.0,0.0,0.05935752130056377
2023-02-06,0.062083611229126236,0.05908746091727136,0.0,0.0,0.0,0.0,0.05950239236800023
2023-02-07,0.062278357833120544,0.059662317090289796,0.0,0.0,0.0,0.0,0.058889700427091525
2023-02-08,0.06201232050070113,0.05938450464432483,0.0,0.0,0.0,0.0,0.056109933997262454
2023-02-09,0.06195760792036344,0.059470058641584535,0.0,0.0,0.0,0.0,0.05611680081312264
2023-02-10,0.061993648677824725,0.05922519331025073,0.0,0.0,0.0,0.0,0.05550254434693579
2023-02-13,0.06096894873330731,0.0584253818352948,0.0,0.0,0.0,0.0,0.05503231470725534
2023-02-14,0.061241414920366846,0.05911441095309397,0.0,0.0,0.0,0.0,0.055309050892763965
2023-02-15,0.0609464172013603,0.058596129945698884,0.0,0.0,0.0,0.0,0.05483661964166695
2023-02-16,0.0610907334438481,0.059530953426071634,0.0,0.0,0.0,0.0,0.055673019522214505
2023-02-17,0.05989811001071532,0.05808545927305534,0.0,0.0,0.0,0.0,0.0546934830815177
2023-02-20,0.05975827271665553,0.05754004192320327,0.0,0.0,0.0,0.0,0.05442409384276839
2023-02-21,0.05935584562889686,0.05721018184422982,0.0,0.0,0.0,0.0,0.054210447217935415
2023-02-22,0.05834512317183068,0.05648630248817891,0.0,0.0,0.0,0.0,0.053206285237722015
2023-02-24,0.05943274684162248,0.057377839929250316,0.0,0.0,0.0,0.0,0.05325729826682658
2023-02-27,0.05970041052735754,0.05783457514321223,0.0,0.0,0.0,0.0,0.05208597025501316
2023-02-28,0.05979177053417017,0.05825577858068376,0.0,0.0,0.0,0.0,0.052485408207952465
2023-03-01,0.05979455357336946,0.05856921876058053,0.0,0.0,0.0,0.0,0.052493420912266775
2023-03-02,0.04373421929229963,0.04373421929229963,0.0,0.04373421929229963,0.0,0.0,0.0
2023-03-03,0.044297595814326095,0.0443458322800823,0.0,0.04394422242599542,0.0,0.0,0.0
2023-03-06,0.045280297796057176,0.04499001552746831,0.0,0.045166038842964974,0.0,0.0,0.0
2023-03-07,0.045845148885014675,0.04505517270577472,0.0,0.044702075407582725,0.0,0.0,0.0
2023-03-08,0.04609937704924406,0.04513059018470113,0.0,0.044624039052355575,0.0,0.0,0.0
2023-03-09,0.04593189841230098,0.045407163397637965,0.0,0.04514826367620264,0.0,0.0,0.0
2023-03-10,0.044818431193151625,0.04448725521751554,0.0,0.04470967463990956,0.0,0.0,0.0
2023-03-13,0.044482320489724496,0.044589066464227306,0.0,0.04440231957217649,0.0,0.0,0.0
2023-03-14,0.04338967449960929,0.04377720564810513,0.0,0.04362413871143161,0.0,0.0,0.0
2023-03-15,0.04353436586266841,0.04336427525972491,0.0,0.04369034800658113,0.0,0.0,0.0
2023-03-16,0.04317666927058503,0.043971274002186984,0.0,0.04406077533304436,0.0,0.0,0.0
2023-03-17,0.044524015580692355,0.044825676893050205,0.0,0.04517638245616617,0.0,0.0,0.0
2023-03-20,0.044328406382707464,0.044706065235680326,0.0,0.044076143697430376,0.0,0.0,0.0
2023-03-22,0.04482290444636207,0.046405565917612905,0.0,0.04491549377665597,0.0,0.0,0.0
2023-03-23,0.04427848077706967,0.045681031614662956,0.0,0.04562299709111019,0.0,0.0,0.0
2023-03-24,0.04427890221979978,0.046014016288097946,0.0,0.04639960095234559,0.0,0.0,0.0
2023-03-27,0.04380802292254883,0.045923511482394194,0.0,0.045325326858973954,0.0,0.0,0.0
2023-03-28,0.043360486996611866,0.04627643865686609,0.0,0.04518864739288549,0.0,0.0,0.0
2023-03-29,0.04394822465346629,0.04684447484584011,0.0,0.044892879196527326,0.0,0.0,0.0
2023-03-30,0.04494899060960371,0.04673847515769536,0.0,0.04540879688893952,0.0,0.0,0.0
2023-03-31,0.04582180091183646,0.047514730919589014,0.0,0.045353216510202236,0.0,0.0,0.0
2023-04-03,0.04605504130952988,0.04700952160713238,0.0,0.04447923860608557,0.0,0.0,0.0
2023-04-04,0.0,0.0,0.04811430865366996,0.0,0.04811430865366996,0.04811430865366996,0.0
2023-04-05,0.0,0.0,0.047072463086978523,0.0,0.04699125642568668,0.047794241170557736,0.0
2023-04-06,0.0,0.0,0.04646763643658018,0.0,0.046639408120073084,0.04771848928687586,0.0
2023-04-07,0.0,0.0,0.04627284650172995,0.0,0.04728247114931216,0.04758017648547068,0.0
2023-04-10,0.0,0.0,0.04645156836660656,0.0,0.04759825228063417,0.04754274912305553,0.0
2023-04-11,0.0,0.0,0.04640064737593256,0.0,0.04766895340748559,0.04775954360555024,0.0
2023-04-12,0.0,0.0,0.046316354337898887,0.0,0.0477481145690733,0.048149364829339014,0.0
2023-04-13,0.0,0.0,0.046061185203719233,0.0,0.047538545982705516,0.048162600075402934,0.0
2023-04-14,0.0,0.0,0.045954006446769016,0.0,0.04739507217382816,0.04827906348165585,0.0
