date,cost_dollars,traded_dollars,w_AXISBANK,w_ITC,w_NTPC,w_RELIANCE,w_SBILIFE,w_TCS
2019-01-02,600.0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-02-04,1120.048058176038,1866746.76362673,0.0,0.5,0.0,0.5,0.0,0.0
2019-03-05,519.1070145677945,865178.357612991,0.22069262400648246,0.3124802906744231,0.0,0.21888271082352026,0.0,0.2479443744955741
2019-04-02,814.3850600735431,1357308.433455905,0.0,1.0,0.0,0.0,0.0,0.0
2019-05-03,695.3371711507602,1158895.2852512673,0.0,0.422251133750517,0.26716644924608557,0.31058241700339756,0.0,0.0
2019-06-04,319.9503533208612,533250.5888681021,0.0,0.5,0.0,0.5,0.0,0.0
2019-07-02,10.028300970551822,16713.8349509197,0.0,0.5,0.0,0.5,0.0,0.0
2019-08-02,481.8007150129453,803001.1916882421,0.2320453754995079,0.2990053824892886,0.2251652962424841,0.24378394576871948,0.0,0.0
2019-09-04,469.57737964075693,782628.9660679281,0.0,0.510291168994058,0.0,0.48970883100594204,0.0,0.0
2019-10-03,581.8446294976726,969741.0491627876,0.20695027169041652,0.26967133923547154,0.0,0.20358411577762023,0.0,0.3197942732964916
2019-11-04,503.4079046474304,839013.1744123842,0.0,0.30591264307920835,0.32336578493988266,0.0,0.0,0.3707215719809091
2019-12-03,207.39384395879915,345656.4065979986,0.1861092763806796,0.2514192160726501,0.29950053311067576,0.0,0.0,0.26297097443599443
2020-01-02,274.8259118774433,458043.1864624055,0.2976357483805933,0.0,0.40827743782149023,0.0,0.0,0.29408681379791635
2020-02-04,496.87690834301264,828128.1805716878,0.2516233388176366,0.20456644854701286,0.2913263819802629,0.2524838306550876,0.0,0.0
2020-03-03,307.54569476193365,512576.15793655603,0.26097735464631316,0.20895779760723807,0.0,0.2599708949840949,0.0,0.2700939527623538
2020-04-03,551.3487179993247,918914.5299988745,0.0,0.0,0.5061460010832269,0.493853998916773,0.0,0.0
2020-05-05,483.95313134721295,806588.552245355,0.0,0.23248331016902088,0.303541891848071,0.19427015432053973,0.0,0.2697046436623684
2020-06-02,473.38265055719705,788971.084261995,0.21843943875338154,0.3680367518022822,0.41352380944433637,0.0,0.0,0.0
2020-07-02,396.2677009383971,660446.1682306619,0.44942873855871474,0.0,0.5505712614412853,0.0,0.0,0.0
