date,cost_dollars,traded_dollars,w_AXISBANK,w_ITC,w_NTPC,w_RELIANCE,w_SBILIFE,w_TCS
2017-10-04,600.0,1000000.0,0.2,0.2,0.2,0.2,0.0,0.2
2017-11-02,772.9353797433237,1288225.6329055391,0.5,0.0,0.0,0.0,0.0,0.5
2017-12-04,1009.8900160272856,1683150.0267121424,0.2161245139341744,0.45284715927486185,0.0,0.33102832679096367,0.0,0.0
2018-01-02,379.92969480715044,633216.1580119174,0.14963676291347947,0.33293374794459446,0.0,0.229349213459387,0.0,0.2880802756825392
2018-02-02,1417.0918080335393,2361819.680055899,0.0,0.0,1.0,0.0,0.0,0.0
2018-03-05,0.8502550848200079,1417.0918080333465,0.0,0.0,1.0,0.0,0.0,0.0
2018-04-03,1105.719132533964,1842865.2208899395,0.1623885313672893,0.23185462202974177,0.25040262850220446,0.19382449195680954,0.0,0.16152972614395497
2018-05-03,1041.5331545809445,1735888.5909682405,0.49295912153368443,0.0,0.0,0.5070408784663155,0.0,0.0
2018-06-04,794.564145973772,1324273.5766229534,0.0,0.0,0.0,0.5,0.0,0.5
2018-07-03,443.32201442457824,738870.0240409637,0.26404142969764843,0.0,0.0,0.397407799431795,0.0,0.33855077087055657
2018-08-02,774.0964076206268,1290160.679367711,0.19085815277740317,0.20248606902483787,0.21210510152913717,0.18350881775711034,0.0,0.2110418589115114
2018-09-04,808.3932873362821,1347322.1455604704,0.0,0.0,0.34537381743835227,0.2708964879995236,0.0,0.3837296945621242
2018-10-03,1237.8738314670281,2063123.052445047,0.0,0.0,0.0,0.0,0.0,1.0
2018-11-02,1806.016166950923,3010026.944918205,0.5,0.0,0.0,0.5,0.0,0.0
2018-12-04,944.4471015910549,1574078.502651758,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,942.7968236299296,1571328.039383216,0.0,1.0,0.0,0.0,0.0,0.0
2019-02-04,1861.508331275153,3102513.885458588,0.5,0.0,0.0,0.0,0.0,0.5
2019-03-05,1148.7913626063269,1914652.2710105444,0.1780544120471623,0.25210853639914355,0.19320179888779485,0.17659417734697916,0.0,0.20004107531892013
2019-04-02,1200.211008166339,2000351.6802772316,0.0,0.0,0.5,0.0,0.0,0.5
2019-05-03,1003.123606673532,1671872.6777892201,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-04,1001.8016059046281,1669669.3431743803,0.0,0.5,0.0,0.0,0.0,0.5
2019-07-02,1032.8637488415297,1721439.5814025495,0.0,1.0,0.0,0.0,0.0,0.0
2019-08-02,1945.284830712085,3242141.384520142,0.0,0.0,0.0,0.0,0.5,0.5
2019-09-04,2003.8595894484986,3339765.9824141636,0.0,0.0,1.0,0.0,0.0,0.0
2019-10-03,1956.2220895042,3260370.1491736667,0.5,0.0,0.0,0.5,0.0,0.0
2019-11-04,1084.8507813748574,1808084.6356247622,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-03,1175.5179597297245,1959196.5995495408,0.0,0.0,0.0,0.5,0.0,0.5
2020-01-02,1226.5784781245595,2044297.4635409326,0.0,0.0,0.3275341947519721,0.2597256882614985,0.18819468040744441,0.22454543657908507
2020-02-04,550.5151544245207,917525.2573742011,0.24056043532490498,0.0,0.2785178894776254,0.2413830946695565,0.0,0.23953858052791305
2020-03-03,1628.5212790409264,2714202.131734877,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-03,1754.3980161498407,2923996.6935830675,0.15361459918842846,0.19558433282711332,0.2693741976844843,0.17242984750411547,0.20899702279585844,0.0
2020-05-05,1205.9351553812235,2009891.9256353725,0.0,0.0,0.0,0.28404158874995317,0.3216243677782978,0.39433404347174905
2020-06-02,1067.082281336425,1778470.4688940414,0.10442549013846421,0.17594083932486146,0.2138487574686491,0.14349204582216532,0.16350839163563194,0.19878447561022805
2020-07-02,444.8005475225871,741334.2458709785,0.11548404745915822,0.23244793105927103,0.0,0.2099102507972159,0.20876183179027377,0.23339593889408097
2020-08-04,620.1525146776203,1033587.5244627006,0.12136077680060779,0.2103291122535251,0.222267980718517,0.19609565375132623,0.0,0.24994647647602372
2020-09-02,1471.0619793104756,2451769.9655174594,0.0,0.0,0.0,0.26926179620431456,0.3374790693378735,0.39325913445781197
2020-10-05,1384.8053119755052,2308008.8532925085,0.16080340550779157,0.34410745392604736,0.0,0.21723396240332474,0.0,0.27785517816283645
2020-11-03,703.3874629594786,1172312.4382657974,0.1276723809802504,0.25982082064148093,0.0,0.17091140509011146,0.2584096700165515,0.18318572327160565
2020-12-02,491.66416748534994,819440.27914225,0.11657451589992542,0.20069441629138124,0.1637755784828674,0.1369234693654606,0.22607781351562423,0.15595420644474106
2021-01-04,1586.1162746508448,2643527.124418075,0.23226316363672392,0.0,0.0,0.0,0.38280641605496996,0.3849304203083061
2021-02-02,1943.1850383620108,3238641.7306033513,0.14730270797224695,0.199648103802644,0.18875594635316692,0.20401117297441934,0.0,0.2602820688975227
2021-03-02,742.1380140688321,1236896.6901147203,0.1136518290146261,0.15379127645500182,0.1495888141339451,0.16859992951547956,0.2158852361499904,0.19848291473095697
2021-04-05,1932.0448601534513,3220074.766922419,0.0,0.0,0.0,0.0,0.5,0.5
2021-05-04,2002.103812822726,3336839.688037877,0.15637985291171697,0.22414006910310366,0.1884900488126027,0.0,0.19890733559461843,0.23208269357795835
2021-06-02,851.1917481094977,1418652.9135158295,0.17736288572155098,0.0,0.1869374455351072,0.19932087796740056,0.19308745602276822,0.243291334753173
2021-07-02,1650.949088752522,2751581.8145875363,0.3045755937457804,0.0,0.31966609603482027,0.0,0.37575831021939937,0.0
2021-08-03,2530.5863279470595,4217643.879911766,0.1671533822628583,0.21960685665651006,0.0,0.17129793866749257,0.18588510970188743,0.25605671271125174
2021-09-02,1046.9506530041576,1744917.7550069292,0.0,0.2404687068833208,0.17656053491337761,0.20123688869485415,0.17765331942267149,0.20408055008577605
2021-10-04,1395.933512404579,2326555.854007632,0.19579105235961378,0.0,0.15556459934966735,0.22501372002865352,0.19092939051716243,0.2327012377449029
2021-11-02,1922.4525656582966,3204087.609430494,0.0,0.22024246517666204,0.22014130435212795,0.0,0.2789526663595114,0.2806635641116986
2021-12-02,1178.3020690264834,1963836.781710806,0.24815313129681263,0.19690613036411656,0.0,0.0,0.24851055742675068,0.3064301809123202
2022-01-04,1461.6673085956788,2436112.180992798,0.15756308976073752,0.13599356029871112,0.16373654057830517,0.1511774624905086,0.18613695551713846,0.20539239135459908
2022-02-02,3445.436347872013,5742393.913120021,0.0,0.5,0.0,0.5,0.0,0.0
2022-03-03,2344.511466268679,3907519.110447799,0.0,0.2554482286246489,0.22769274426615366,0.24648322039049597,0.0,0.2703758067187014
2022-04-04,2649.581493247137,4415969.155411895,0.19454186454802755,0.30706082300996296,0.2629784987365715,0.0,0.235418813705438,0.0
2022-05-04,2613.87111688326,4356451.861472099,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,2610.713045317181,4351188.408861969,0.0,0.0,0.3199718115208253,0.2912278854204685,0.0,0.3888003030587061
2022-07-04,3689.2507050590507,6148751.175098417,0.24926453630823267,0.27642293443506116,0.22332745299756532,0.0,0.25098507625914085,0.0
2022-08-02,1832.537799855962,3054229.6664266028,0.215528619215042,0.2454015721939203,0.19236481828095467,0.16167945975818587,0.0,0.18502553055189716
2022-09-02,1051.4940189693382,1752490.0316155634,0.2079125606293796,0.2678912343806326,0.1847579482463497,0.17083920566972174,0.16859905107391654,0.0
2022-10-04,1748.446988867731,2914078.3147795517,0.21793000737564608,0.30667380751950185,0.2345402791353432,0.0,0.0,0.2408559059695089
2022-11-02,1694.5607175556402,2824267.8625927344,0.0,0.27087075909012165,0.2060234172857522,0.2587575446678802,0.0,0.264348278956246
2022-12-02,2743.9393617331884,4573232.269555315,0.2472852448945418,0.3739104187099197,0.0,0.0,0.0,0.3788043363955385
2023-01-03,2337.241968121555,3895403.280202592,0.1441391599134483,0.23384050458919878,0.18763518231652612,0.0,0.21276503880226036,0.22162011437856638
2023-02-02,1717.0216141927917,2861702.690321319,0.20881095495665833,0.2292989265057746,0.0,0.21265702286653565,0.14943518179967735,0.19979791387135404
2023-03-02,2016.658031942892,3361096.7199048195,0.2439827976140671,0.23074522815463674,0.2705026853828377,0.25476928884845845,0.0,0.0
2023-04-05,1768.265173464068,2947108.6224401128,0.17952381905475737,0.17342452050501272,0.19540565714879118,0.15225013428464143,0.12338548413668708,0.17601038487011023
2023-05-03,1130.4484028091733,1884080.671348622,0.21931453482910837,0.0,0.21778531545823002,0.1923656771043956,0.14698961984007855,0.2235448527681875
2023-06-02,1404.7419241486516,2341236.5402477523,0.26277942034922147,0.0,0.2645635282363809,0.2310255512472391,0.2416315001671585,0.0
2023-07-04,3343.460315520669,5572433.859201115,0.0,0.3203981076150608,0.30589205993986174,0.37370983244507755,0.0,0.0
2023-08-02,7042.752480609669,11737920.801016115,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-04,5858.997403111937,9764995.671853228,0.19844965492781505,0.16442114098723512,0.13268656487192015,0.16454461237065005,0.17785385667807285,0.16204417016430678
2023-10-04,4601.6582633043145,7669430.438840525,0.0,0.5,0.0,0.0,0.5,0.0
2023-11-02,4718.012617150561,7863354.361917602,0.14684512180418402,0.19499751144346794,0.12695630344374262,0.1983205565641504,0.13957023703436994,0.19331026971008514
2023-12-04,1188.7216976459717,1981202.8294099523,0.0,0.23123274079970516,0.15813817381992876,0.24210369670207899,0.15780140503421689,0.2107239836440703
2024-01-02,3744.0616866684118,6240102.811114019,0.22174927677014356,0.32613551662632173,0.20981460176264424,0.0,0.24230060484089033,0.0
2024-02-02,4386.599386864409,7310998.978107348,0.0,0.0,0.2136009232314685,0.26825518791584657,0.24206417931715465,0.27607970953553035
2024-03-04,4736.421552487798,7894035.920812999,0.25644024765200213,0.3052698820276257,0.19707892644658281,0.0,0.0,0.2412109438737893
2024-04-02,1601.4532780782072,2669088.7967970115,0.20726402920041087,0.23702742212674627,0.15731074776592108,0.19329631440845416,0.0,0.20510148649846763
2024-05-03,4786.240967513932,7977068.279189885,0.0,0.5,0.0,0.0,0.0,0.5
2024-06-04,4550.3925474684065,7583987.579114011,0.0,0.2225631246684097,0.13328577365576808,0.20280193524090936,0.21690590873755863,0.2244432576973542
2024-07-02,1332.0117979120068,2220019.6631866787,0.12868556031123773,0.22322827809547838,0.09182318585318175,0.15111758812582526,0.17605362946639996,0.22909175814787683
2024-08-02,7324.9511013388565,12208251.83556476,0.0,1.0,0.0,0.0,0.0,0.0
2024-09-03,6260.139914325924,10433566.52387654,0.3428180230748344,0.3751493157253508,0.0,0.0,0.2820326611998147,0.0
2024-10-03,4905.132567448132,8175220.9457468875,0.0,0.0,0.0,0.0,0.0,0.0
