strategy,cagr,sharpe,sortino,calmar,max_dd,volatility,hit_rate
P5 (tuned + composite regime),0.0179,0.5338,0.5887,0.428,-0.0418,0.0343,0.3754
P5 (tuned + simple regime),0.0354,0.3759,0.3761,0.1716,-0.206,0.108,0.2723
Equal-Weight,0.2725,1.1572,1.6187,0.8615,-0.3163,0.2315,0.5429
Phase 1 (per-stock),0.1767,0.9014,1.1629,0.4144,-0.4264,0.2038,0.529
Phase 2 (cross-sectional),0.1757,1.3298,1.6334,0.984,-0.1785,0.1279,0.4378
Phase 3 (bagged + sector),0.172,1.2873,1.5636,1.1001,-0.1563,0.1299,0.4301
Phase 4 (multi-horizon),0.1554,1.214,1.5389,0.7778,-0.1998,0.1255,0.419
