slip,comm,sharpe,cagr,maxdd
0.5,2.5,1.3627878584366735,0.18065638382050575,-0.17790398625429635
0.5,5.0,1.335305541171581,0.1765118346621648,-0.17843343489011892
0.5,10.0,1.2800178563757267,0.1682578497067213,-0.17949210427257897
1.0,2.5,1.357300467212555,0.17982653492755185,-0.17800988206037208
1.0,5.0,1.329795712971578,0.17568433195647004,-0.17853931549991545
1.0,10.0,1.2744668677418873,0.16743502048042602,-0.1795979545048278
2.0,2.5,1.3463119780412862,0.17816824614917315,-0.17822166455375746
2.0,5.0,1.3187630681549734,0.17403072905316952,-0.17875106760373913
2.0,10.0,1.2633534281682621,0.16579076082992472,-0.17980964585957376
5.0,2.5,1.3132403594750597,0.1732046296894778,-0.17885693909816672
5.0,5.0,1.2855649564933544,0.1690811454756176,-0.17938625100347796
5.0,10.0,1.229925087564602,0.16086915744471408,-0.18044464706028912
