slippage_bps,commission_bps,sharpe,cagr,max_drawdown
0.5,2.5,0.9184732951384982,0.18074351614382578,-0.4249838112212661
0.5,5.0,0.9042340832303901,0.17736310032748426,-0.426163203517891
0.5,10.0,0.8757152644670483,0.17062603069052806,-0.4286828431855646
1.0,2.5,0.915626591089651,0.18006679822036942,-0.4252198503590231
1.0,5.0,0.9013845660685172,0.17668796871109627,-0.42639884106739934
1.0,10.0,0.8728606127225356,0.16995406279787884,-0.4290414489121363
2.0,2.5,0.9099314624097045,0.17871431475114985,-0.42569168757375053
2.0,5.0,0.8956839093555088,0.17533865607623644,-0.4268698754290731
2.0,10.0,0.8671498838172138,0.16861107405857734,-0.42975809245360724
5.0,2.5,0.8928327829146676,0.17466447482067582,-0.42710527228433903
5.0,5.0,0.8785694323051169,0.1712983144228426,-0.4283240480448654
5.0,10.0,0.850006767568203,0.1645896757009715,-0.4319034857322135
