Date,equity
2019-01-01,1000000.0
2019-01-02,1000000.0
2019-01-03,1000000.0
2019-01-04,1000000.0
2019-01-07,1000000.0
2019-01-08,1000000.0
2019-01-09,1000000.0
2019-01-10,1000000.0
2019-01-11,1000000.0
2019-01-14,1000000.0
2019-01-15,1000000.0
2019-01-16,1000000.0
2019-01-17,1000000.0
2019-01-18,1000000.0
2019-01-21,1000000.0
2019-01-22,1000000.0
2019-01-23,1000000.0
2019-01-24,1000000.0
2019-01-25,1000000.0
2019-01-28,1000000.0
2019-01-29,1000000.0
2019-01-30,1000000.0
2019-01-31,1000000.0
2019-02-01,1000000.0
2019-02-04,999703.7389020075
2019-02-05,1000229.6036750888
2019-02-06,1005991.412616334
2019-02-07,1009369.4393994665
2019-02-08,1001024.9428998191
2019-02-11,994427.5542323914
2019-02-12,992620.6025288105
2019-02-14,983569.3094534785
2019-02-15,982843.5013405352
2019-02-18,978942.7153118423
2019-02-19,981004.2928884989
2019-02-20,985597.5904183168
2019-02-21,991093.2575210968
2019-02-22,995853.9274952348
2019-02-25,999462.9406846956
2019-02-26,1000471.1760962255
2019-02-27,998151.7932051059
2019-02-28,996487.3080897161
2019-03-01,1001623.3000439643
2019-03-05,1010011.585518436
2019-03-06,1013494.0463689076
2019-03-07,1012464.4740937303
2019-03-08,1010389.5578438363
2019-03-11,1017573.8471115895
2019-03-12,1021012.2401920091
2019-03-13,1021723.0944484383
2019-03-14,1020656.9174215805
2019-03-15,1021642.4392199448
2019-03-18,1022446.0282785652
2019-03-19,1025936.893602821
2019-03-20,1024047.896771034
2019-03-22,1021974.9144833812
2019-03-25,1016937.6971713637
2019-03-26,1022133.862592157
2019-03-27,1019444.6324869364
2019-03-28,1025823.7528080363
2019-04-01,1032598.8920598786
2019-04-02,1034999.8038180987
2019-04-03,1033237.813702611
2019-04-04,1033921.1753306969
2019-04-05,1038699.6634823078
2019-04-08,1036683.8613145337
2019-04-09,1039956.759538286
2019-04-10,1040096.8732711987
2019-04-11,1040819.2126143423
2019-04-12,1044651.7127705336
2019-04-15,1049215.5183637661
2019-04-16,1050408.728605003
2019-04-18,1049982.5566710185
2019-04-22,1045632.8582622306
2019-04-23,1041930.6387066843
2019-04-24,1046048.8715853249
2019-04-25,1045369.0747491012
2019-04-26,1047560.6137123057
2019-04-30,1047239.8518057354
2019-05-02,1046517.6781044214
2019-05-03,1044098.3207135802
2019-05-06,1038309.1596227372
2019-05-07,1036137.506078663
2019-05-08,1029933.5843417261
2019-05-09,1028732.4936575235
2019-05-10,1027004.9838768392
2019-05-13,1012403.4217087403
2019-05-14,1014636.5049142662
2019-05-15,1012698.9363233602
2019-05-16,1018990.7006473806
2019-05-17,1025554.6802509744
2019-05-20,1040590.7899590934
2019-05-21,1029667.9739392987
2019-05-22,1032920.4097672001
2019-05-23,1032302.6036843621
2019-05-24,1039547.1475047772
2019-05-27,1045905.7331598339
2019-05-28,1046343.2768029267
2019-05-29,1042044.006975565
2019-05-30,1041819.4095514269
2019-05-31,1041015.2845694913
2019-06-03,1056381.4905907921
2019-06-04,1049395.9519119312
